#Release 9.2.04i - par J.40
#Copyright (c) 1995-2007 Xilinx, Inc.  All rights reserved.

#Thu Dec 11 15:10:18 2008

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       TOP_LEVEL_map.ncd
#OUTPUT FILE:      C:/GateFlow/7142_sig/4953_s142/xc4vsx55/mppr_result.dir/H_H_4_pad.csv
#PART TYPE:        xc4vsx55
#SPEED GRADE:      -10
#PACKAGE:          ff1148
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AA15,DDR1_DM<2>,IOB,IO_L13N_12,OUTPUT,SSTL18_II_DCI,12,,NONE*,NONE**,,,LOCATED,,NO,SPLIT,
AA16,,,VCCINT,,,,,,,,1.2,,,,,
AA17,,,GND,,,,,,,,,,,,,
AA18,,,VCCINT,,,,,,,,1.2,,,,,
AA19,,,GND,,,,,,,,,,,,,
AA20,,,VCCINT,,,,,,,,1.2,,,,,
AA22,,,VCCO_11,,,11,,,,,2.50,,,,,
AA23,LVDS2_DAT_P<10>,IOBM,IO_L17P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AA24,LVDS2_DAT_N<10>,IOBS,IO_L17N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AA25,LAD<21>,IOB,IO_L9P_CC_LC_11,BIDIR,LVCMOS25,11,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AA26,LAD<30>,IOB,IO_L9N_CC_LC_11,BIDIR,LVCMOS25,11,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AA27,,,GND,,,,,,,,,,,,,
AA28,LVDS1_DAT_P<0>,IOBM,IO_L1P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AA29,LVDS1_DAT_N<0>,IOBS,IO_L1N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AA30,LVDS1_DAT_N<14>,IOBS,IO_L3N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AA31,,,NC,,,,,,,,,,,,,
AA32,,,NC,,,,,,,,,,,,,
AA33,,,NC,,,,,,,,,,,,,
AA34,,,NC,,,,,,,,,,,,,
AB1,,,NC,,,,,,,,,,,,,
AB2,,,NC,,,,,,,,,,,,,
AB3,,,NC,,,,,,,,,,,,,
AB4,,,GND,,,,,,,,,,,,,
AB5,DDR1_DQ<28>,IOB,IO_L1N_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AB6,DDR1_DQ<29>,IOB,IO_L1P_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AB7,,,VCCINT,,,,,,,,1.2,,,,,
AB8,,IOBS,IO_L12N_VREF_12,UNUSED/VREF,,12,,,,,0.90,,,,,
AB9,,,VCCO_12,,,12,,,,,1.80,,,,,
AB10,DDR1_DQSB<2>,IOB,IO_L25N_CC_LC_12,TRISTATE,SSTL18_II_DCI,12,,NONE*,NONE**,,,LOCATED,,NO,SPLIT,
AB11,,,VCCINT,,,,,,,,1.2,,,,,
AB12,DDR2_WEB,IOB,IO_L29N_12,OUTPUT,SSTL18_I_DCI,12,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AB13,DDR2_CKE,IOB,IO_L29P_12,OUTPUT,SSTL18_I_DCI,12,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AB14,,,GND,,,,,,,,,,,,,
AB15,LHOLD,IOB,IO_L2N_D12_LC_2,INPUT,LVCMOS25,2,,,,IFD,,LOCATED,,YES,NONE,
AB16,LDREQ_N<9>,IOB,IO_L14N_GC_LC_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AB17,LBLAST_N,IOB,IO_L14P_GC_LC_2,INPUT,LVCMOS25,2,,,,NONE,,LOCATED,,NO,NONE,
AB18,LWAIT_N,IOB,IO_L9N_GC_CC_LC_2,INPUT,LVCMOS25,2,,,,IFD,,LOCATED,,YES,NONE,
AB19,,,VCCO_2,,,2,,,,,2.50,,,,,
AB20,,,GND,,,,,,,,,,,,,
AB21,,,VCCINT,,,,,,,,1.2,,,,,
AB22,LVDS2_DAT_P<1>,IOBM,IO_L29P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AB23,LVDS2_DAT_N<1>,IOBS,IO_L29N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AB24,,,GND,,,,,,,,,,,,,
AB25,LVDS2_DAT_P<0>,IOBM,IO_L20P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AB26,LVDS2_DAT_N<0>,IOBS,IO_L20N_VREF_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AB27,,,VCCAUX,,,,,,,,2.5,,,,,
AB28,LVDS1_DAT_N<1>,IOBS,IO_L11N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AB29,,,VCCO_11,,,11,,,,,2.50,,,,,
AB30,LVDS1_DAT_P<14>,IOBM,IO_L3P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AB31,,,NC,,,,,,,,,,,,,
AB32,,,NC,,,,,,,,,,,,,
AB33,,,NC,,,,,,,,,,,,,
AB34,,,GND,,,,,,,,,,,,,
AC1,,,GND,,,,,,,,,,,,,
AC2,DDR2_DQ<24>,IOB,IO_L2N_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AC3,DDR2_DQ<25>,IOB,IO_L2P_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AC4,DDR2_DQ<29>,IOB,IO_L6N_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AC5,DDR2_DQ<28>,IOB,IO_L6P_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AC6,,,VCCO_12,,,12,,,,,1.80,,,,,
AC7,DDR1_ADDRESS<14>,IOB,IO_L12P_12,OUTPUT,SSTL18_I_DCI,12,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AC8,DDR1_DQ<30>,IOB,IO_L17N_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AC9,DDR1_DQ<31>,IOB,IO_L17P_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AC10,DDR1_DQS<2>,IOB,IO_L25P_CC_LC_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AC11,,,GND,,,,,,,,,,,,,
AC12,,,VCCINT,,,,,,,,1.2,,,,,
AC13,,,GND,,,,,,,,,,,,,
AC14,,,VCCINT,,,,,,,,1.2,,,,,
AC15,LHOLDA,IOB,IO_L2P_D13_LC_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AC16,,,VCCO_2,,,2,,,,,2.50,,,,,
AC17,LAD<26>,IOB,IO_L12N_GC_VREF_LC_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AC18,,,VCCINT,,,,,,,,1.2,,,,,
AC19,LAD<10>,IOB,IO_L9P_GC_CC_LC_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AC20,,,VCCINT,,,,,,,,1.2,,,,,
AC21,,,GND,,,,,,,,,,,,,
AC22,,,VCCINT,,,,,,,,1.2,,,,,
AC23,,,GND,,,,,,,,,,,,,
AC24,,,VCCAUX,,,,,,,,2.5,,,,,
AC25,LVDS2_CTL_P,IOBM,IO_L23P_VRN_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AC26,,,VCCO_11,,,11,,,,,2.50,,,,,
AC27,LVDS2_DAT_N<7>,IOBS,IO_L19N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AC28,LVDS1_DAT_P<1>,IOBM,IO_L11P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AC29,LVDS1_DAT_P<2>,IOBM,IO_L7P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AC30,LVDS1_DAT_N<2>,IOBS,IO_L7N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AC31,,,GND,,,,,,,,,,,,,
AC32,LVDS1_DAT_P<15>,IOBM,IO_L6P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AC33,LVDS1_DAT_N<15>,IOBS,IO_L6N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AC34,,LOWCAPIOB,IO_L8N_CC_LC_11,UNUSED,,11,,,,,,,,,,
AD1,,IOBS,IO_L4N_VREF_12,UNUSED/VREF,,12,,,,,0.90,,,,,
AD2,DDR2_DM<3>,IOB,IO_L4P_12,OUTPUT,SSTL18_II_DCI,12,,NONE*,NONE**,,,LOCATED,,NO,SPLIT,
AD3,,,VCCO_12,,,12,,,,,1.80,,,,,
AD4,DDR1_CSB,IOB,IO_L14N_12,OUTPUT,SSTL18_I_DCI,12,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AD5,DDR1_DQ<25>,IOB,IO_L11N_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AD6,DDR1_DQ<24>,IOB,IO_L11P_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AD7,DDR1_DQSB<3>,IOB,IO_L24N_CC_LC_12,TRISTATE,SSTL18_II_DCI,12,,NONE*,NONE**,,,LOCATED,,NO,SPLIT,
AD8,,,GND,,,,,,,,,,,,,
AD9,,IOBS,IO_L4N_VREF_8,UNUSED/VREF,,8,,,,,0.90,,,,,
AD10,DDR2_BA<2>,IOB,IO_L4P_8,OUTPUT,SSTL18_I_DCI,8,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AD11,,,VCCAUX,,,,,,,,2.5,,,,,
AD12,,,GND,,,,,,,,,,,,,
AD13,,,VCCINT,,,,,,,,1.2,,,,,
AD14,,,GND,,,,,,,,,,,,,
AD15,,,VCCINT,,,,,,,,1.2,,,,,
AD16,LAD<43>,IOB,IO_L10P_GC_LC_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AD17,LAD<0>,IOB,IO_L12P_GC_LC_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AD18,,,GND,,,,,,,,,,,,,
AD19,LAD<61>,IOB,IO_L23P_VRN_LC_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AD20,LRW,IOB,IO_L17N_LC_2,INPUT,LVCMOS25,2,,,,IFD,,LOCATED,,YES,NONE,
AD21,LIRQ_N<2>,IOB,IO_L17P_LC_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AD22,,,GND,,,,,,,,,,,,,
AD23,,,VCCINT,,,,,,,,1.2,,,,,
AD24,,,GND,,,,,,,,,,,,,
AD25,,,VCCINT,,,,,,,,1.2,,,,,
AD26,LVDS2_CTL_N,IOBS,IO_L23N_VRP_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AD27,LVDS2_DAT_P<7>,IOBM,IO_L19P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AD28,,,GND,,,,,,,,,,,,,
AD29,LVDS1_DAT_N<9>,IOBS,IO_L15N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AD30,LVDS1_DAT_P<3>,IOBM,IO_L12P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AD31,LVDS1_DAT_N<3>,IOBS,IO_L12N_VREF_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AD32,LVDS1_DAT_N<4>,IOBS,IO_L10N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AD33,,,VCCO_11,,,11,,,,,2.50,,,,,
AD34,,LOWCAPIOB,IO_L8P_CC_LC_11,UNUSED,,11,,,,,,,,,,
AE1,DDR1_DQ<18>,IOB,IO_L7N_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AE2,DDR1_DQ<23>,IOB,IO_L10N_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AE3,DDR1_DQ<22>,IOB,IO_L10P_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AE4,DDR1_ADDRESS<9>,IOB,IO_L14P_12,OUTPUT,SSTL18_I_DCI,12,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AE5,,,GND,,,,,,,,,,,,,
AE6,DDR1_RASB,IOB,IO_L19N_12,OUTPUT,SSTL18_I_DCI,12,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AE7,DDR1_DQS<3>,IOB,IO_L24P_CC_LC_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AE8,DDR2_CASB,IOB,IO_L27N_12,OUTPUT,SSTL18_I_DCI,12,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AE9,,IOBS,IO_L20N_VREF_8,UNUSED/VREF,,8,,,,,0.90,,,,,
AE10,,,VCCO_8,,,8,,,,,1.80,,,,,
AE11,DDR2_ADDRESS<6>,IOB,IO_L26P_8,OUTPUT,SSTL18_I_DCI,8,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AE12,,,VCCINT,,,,,,,,1.2,,,,,
AE13,,,GND,,,,,,,,,,,,,
AE14,,,VCCINT,,,,,,,,1.2,,,,,
AE15,,,GND,,,,,,,,,,,,,
AE16,LDREQ_N<0>,IOB,IO_L6N_GC_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AE17,LDREQ_N<2>,IOB,IO_L6P_GC_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AE18,LDREQ_N<1>,IOB,IO_L1N_GC_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AE19,LAD<48>,IOB,IO_L23N_VRP_LC_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AE20,,,VCCO_2,,,2,,,,,2.50,,,,,
AE21,,LOWCAPIOB,IO_L7P_D3_LC_2,UNUSED,,2,,,,,,,,,,
AE22,,,VCCINT,,,,,,,,1.2,,,,,
AE23,,,GND,,,,,,,,,,,,,
AE24,,,VCCINT,,,,,,,,1.2,,,,,
AE25,,,GND,,,,,,,,,,,,,
AE26,LVDS3_DAT_N<10>,IOBS,IO_L3N_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AE27,LVDS3_DAT_N<11>,IOBS,IO_L2N_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AE28,,,VCCINT,,,,,,,,1.2,,,,,
AE29,LVDS1_DAT_P<9>,IOBM,IO_L15P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AE30,,,VCCO_11,,,11,,,,,2.50,,,,,
AE31,LVDS1_DAT_N<5>,IOBS,IO_L16N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AE32,LVDS1_DAT_P<4>,IOBM,IO_L10P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AE33,LVDS1_DAT_P<13>,IOBM,IO_L5P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AE34,LVDS1_DAT_N<13>,IOBS,IO_L5N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AF1,DDR1_DQ<19>,IOB,IO_L7P_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AF2,,,GND,,,,,,,,,,,,,
AF3,DDR1_DQ<27>,IOB,IO_L18N_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AF4,,IOBS,IO_L20N_VREF_12,UNUSED/VREF,,12,,,,,0.90,,,,,
AF5,DDR1_BA<0>,IOB,IO_L20P_12,OUTPUT,SSTL18_I_DCI,12,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AF6,DDR1_WEB,IOB,IO_L19P_12,OUTPUT,SSTL18_I_DCI,12,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AF7,,,VCCO_12,,,12,,,,,1.80,,,,,
AF8,DDR2_BA<0>,IOB,IO_L27P_12,OUTPUT,SSTL18_I_DCI,12,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AF9,,,VCCINT,,,,,,,,1.2,,,,,
AF10,,IOBM,IO_L20P_8,UNUSED,,8,,,,,,,,,,
AF11,DDR2_ADDRESS<10>,IOB,IO_L26N_8,OUTPUT,SSTL18_I_DCI,8,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AF12,,,GND,,,,,,,,,,,,,
AF13,,,VCCINT,,,,,,,,1.2,,,,,
AF14,,LOWCAPIOB,IO_L6P_D5_LC_2,UNUSED,,2,,,,,,,,,,
AF15,LAD<23>,IOB,IO_L10N_GC_LC_2,BIDIR,LVCMOS25,2,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
AF16,LDREQ_N<4>,IOB,IO_L2N_GC_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AF17,,,VCCO_4,,,4,,,,,2.50,,,,,
AF18,LDREQ_N<3>,IOB,IO_L1P_GC_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AF19,,,VCCINT,,,,,,,,1.2,,,,,
AF20,,LOWCAPIOB,IO_L5N_D6_LC_2,UNUSED,,2,,,,,,,,,,
AF21,,LOWCAPIOB,IO_L7N_D2_LC_2,UNUSED,,2,,,,,,,,,,
AF22,,,GND,,,,,,,,,,,,,
AF23,,,VCCINT,,,,,,,,1.2,,,,,
AF24,LVDS3_DAT_N<13>,IOBS,IO_L21N_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AF25,,,VCCAUX,,,,,,,,2.5,,,,,
AF26,LVDS3_DAT_P<10>,IOBM,IO_L3P_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AF27,,,VCCO_7,,,7,,,,,2.50,,,,,
AF28,LVDS3_DAT_P<11>,IOBM,IO_L2P_7,OUTPUT,LVDS_25,7,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AF29,LVDS4_DAT_P<2>,IOB,IO_L24P_CC_LC_11,INPUT,LVDS_25,11,,,,NONE,,LOCATED,,YES,NONE,
AF30,LVDS4_DAT_N<2>,IOB,IO_L24N_CC_LC_11,INPUT,LVDS_25,11,,,,NONE,,LOCATED,,NO,NONE,
AF31,LVDS1_DAT_P<5>,IOBM,IO_L16P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AF32,,,GND,,,,,,,,,,,,,
AF33,LVDS1_DAT_P<10>,IOBM,IO_L14P_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AF34,LVDS1_DAT_N<10>,IOBS,IO_L14N_11,OUTPUT,LVDS_25,11,,NONE*,NONE**,,,LOCATED,,NO,NONE,
AG1,DDR1_DQ<17>,IOB,IO_L16N_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AG2,DDR1_DQ<16>,IOB,IO_L16P_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AG3,DDR1_DQ<26>,IOB,IO_L18P_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AG4,,,VCCO_12,,,12,,,,,1.80,,,,,
AG5,,IOBS,IO_L23N_VRP_12,UNUSED,,12,,,TERMINATION,,,,,,,
AG6,,IOBM,IO_L23P_VRN_12,UNUSED,,12,,,TERMINATION,,,,,,,
AG7,DDR1_CLKB,IOB,IO_L31N_12,OUTPUT,SSTL18_II_DCI,12,,NONE*,NONE**,,,LOCATED,,YES,SPLIT,
AG8,DDR1_CLK,IOB,IO_L31P_12,OUTPUT,SSTL18_II_DCI,12,,NONE*,NONE**,,,LOCATED,,YES,SPLIT,
AG9,,,GND,,,,,,,,,,,,,
AG10,DDR2_ADDRESS<2>,IOB,IO_L30N_8,OUTPUT,SSTL18_I_DCI,8,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AG11,DDR2_ADDRESS<9>,IOB,IO_L17N_8,OUTPUT,SSTL18_I_DCI,8,,NONE*,NONE**,,,LOCATED,,YES,NONE,
