#Release 9.2.04i - par J.40
#Copyright (c) 1995-2007 Xilinx, Inc.  All rights reserved.

#Thu Dec 11 15:10:18 2008

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       TOP_LEVEL_map.ncd
#OUTPUT FILE:      C:/GateFlow/7142_sig/4953_s142/xc4vsx55/mppr_result.dir/H_H_4_pad.csv
#PART TYPE:        xc4vsx55
#SPEED GRADE:      -10
#PACKAGE:          ff1148
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
A2,,,VCCO_6,,,6,,,,,1.80,,,,,
A3,,IOBS,IO_L20N_VREF_6,UNUSED/VREF,,6,,,,,0.90,,,,,
A4,DDR0_DM<0>,IOB,IO_L20P_6,OUTPUT,SSTL18_II_DCI,6,,NONE*,NONE**,,,LOCATED,,NO,SPLIT,
A5,DDR0_DQ<14>,IOB,IO_L22P_6,BIDIR,SSTL18_II_DCI,6,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
A6,DDR0_DM<2>,IOB,IO_L12P_6,OUTPUT,SSTL18_II_DCI,6,,NONE*,NONE**,,,LOCATED,,NO,SPLIT,
A7,,,GND,,,,,,,,,,,,,
A8,DDR0_DQ<10>,IOB,IO_L10P_6,BIDIR,SSTL18_II_DCI,6,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
A9,DDR0_DQ<17>,IOB,IO_L15N_6,BIDIR,SSTL18_II_DCI,6,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
A10,DDR0_DQ<16>,IOB,IO_L15P_6,BIDIR,SSTL18_II_DCI,6,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
A11,DDR0_ADDRESS<5>,IOB,IO_L3P_6,OUTPUT,SSTL18_I_DCI,6,,NONE*,NONE**,,,LOCATED,,YES,NONE,
A12,,,VCCO_6,,,6,,,,,1.80,,,,,
A13,DDR0_ADDRESS<1>,IOB,IO_L17N_6,OUTPUT,SSTL18_I_DCI,6,,NONE*,NONE**,,,LOCATED,,YES,NONE,
A14,DDR0_CASB,IOB,IO_L17P_6,OUTPUT,SSTL18_I_DCI,6,,NONE*,NONE**,,,LOCATED,,YES,NONE,
A15,LAD<46>,IOB,IO_L24P_LC_1,BIDIR,LVCMOS25,1,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
A16,,,NC,,,,,,,,,,,,,
A17,,,NC,,,,,,,,,,,,,
A18,,,NC,,,,,,,,,,,,,
A19,,,GND,,,,,,,,,,,,,
A20,LAD<45>,IOB,IO_L17N_CC_LC_1,BIDIR,LVCMOS25,1,12,SLOW,NONE**,IFD,,LOCATED,,YES,NONE,
A21,BUSA_MASTER,IOB,IO_L21N_5,OUTPUT,LVTTL,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
A22,,,VCCO_5,,,5,,,,,3.30,,,,,
A23,DAC_DA<1>,IOB,IO_L1N_5,OUTPUT,LVTTL,5,12,FAST,NONE**,,,LOCATED,,YES,NONE,
A24,DAC_DA<7>,IOB,IO_L3P_5,OUTPUT,LVTTL,5,12,FAST,NONE**,,,LOCATED,,YES,NONE,
A25,DAC_DB<14>,IOB,IO_L3N_5,OUTPUT,LVTTL,5,12,FAST,NONE**,,,LOCATED,,YES,NONE,
A26,DAC_DB<15>,IOB,IO_L2P_5,OUTPUT,LVTTL,5,12,FAST,NONE**,,,LOCATED,,YES,NONE,
A27,,,GND,,,,,,,,,,,,,
A28,ADC_DC<0>,IOB,IO_L14P_5,INPUT,LVTTL,5,,,,IFD,,LOCATED,,YES,NONE,
A29,ADC_DA<13>,IOB,IO_L14N_5,INPUT,LVTTL,5,,,,IFD,,LOCATED,,YES,NONE,
A30,ADC_DA<12>,IOB,IO_L18P_5,INPUT,LVTTL,5,,,,IFD,,LOCATED,,YES,NONE,
A31,DAC_DA<12>,IOB,IO_L24P_CC_LC_5,OUTPUT,LVTTL,5,12,FAST,NONE**,,,LOCATED,,YES,NONE,
A32,,,VCCO_5,,,5,,,,,3.30,,,,,
A33,,,GND,,,,,,,,,,,,,
AA1,,,NC,,,,,,,,,,,,,
AA2,,,NC,,,,,,,,,,,,,
AA3,,,NC,,,,,,,,,,,,,
AA4,,,NC,,,,,,,,,,,,,
AA5,,,NC,,,,,,,,,,,,,
AA6,,,NC,,,,,,,,,,,,,
AA7,,,GND,,,,,,,,,,,,,
AA8,DDR1_BA<1>,IOB,IO_L8N_CC_LC_12,OUTPUT,SSTL18_I_DCI,12,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AA9,DDR1_CKE,IOB,IO_L8P_CC_LC_12,OUTPUT,SSTL18_I_DCI,12,,NONE*,NONE**,,,LOCATED,,YES,NONE,
AA10,,,VCCAUX,,,,,,,,2.5,,,,,
AA11,DDR2_DQ<30>,IOB,IO_L3N_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
AA12,,,VCCO_12,,,12,,,,,1.80,,,,,
AA13,DDR2_DQ<27>,IOB,IO_L5N_12,BIDIR,SSTL18_II_DCI,12,,NONE*,NONE**,IFD,,LOCATED,,YES,SPLIT,
